allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,zoe,,19%,54/100g,29%,19%,6%,28%,wet,,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Tuna,Tilapia,Potato,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[3],Savory Pâté With Tilapia & Cuts Of Tuna In Gravy,[2],,
,zoe,,19%,54/100g,29%,19%,6%,28%,wet,,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Tuna,Pumpkin,Salmon,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[2],Savory Pâté With Salmon & Flakes Of Tuna In Gravy,[2],,
,zoe,,19%,54/100g,29%,19%,6%,28%,wet,,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Salmon,Carrot,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[2],Savory Pâté With Chicken & Flakes Of Salmon In Gravy,[2],,
,zoe,,19%,54/100g,29%,19%,6%,28%,wet,,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Duck,Potato,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[3],Savory Pâté With Chicken & Cuts Of Chicken In Gravy,[2],,
,zoe,,19%,54/100g,29%,19%,6%,28%,wet,,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Beef,Pumpkin,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[3],Savory Pâté With Chicken & Cuts Of Beef In Gravy,[2],,
,almo nature,,15%,57/100g,0%,9%,3%,74%,wet,,2.5%,0.0%,1.5%,0.5%,83.0%,12.5%,"Salmon,Water Sufficient For Cooking,Apple,Tapioca Starch,Natural Flavor,Sunflower Oil,Tricalcium Phosphate,Guar Gum,Minerals (Zinc Oxide,Reduced Iron,Sodium Selenite,Manganese Sulfate Monohydrate,Copper Glycine Complex,Potassium Iodide),Taurine,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Folic Acid,Menadione Sodium Bisulfite Complex (Source Of Vitamin K Activity)),Choline Chloride",[2],Complete Salmon Recipe With Apples Grain-free,[5],,
,almo nature,,15%,57/100g,0%,9%,3%,74%,wet,,2.5%,0.0%,1.5%,0.5%,83.0%,12.5%,"Mackerel,Water Sufficient For Cooking,Sweet Potatoes,Tapioca Starch,Natural Flavor,Sunflower Oil,Guar Gum,Tricalcium Phosphate,Potassium Chloride,Minerals (Zinc Oxide,Reduced Iron,Sodium Selenite,Manganese Sulfate Monohydrate,Copper Glycine Complex,Potassium Iodide),Taurine,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Folic Acid,Menadione Sodium Bisulfite Complex (Source Of Vitamin K Activity)),Choline Chloride",[2],Complete Mackerel Recipe With Sweet Potatoes Grain-free,[5],,
,almo nature,,13%,64/100g,0%,8%,3%,76%,wet,,2.5%,0.0%,1.5%,0.5%,81.0%,14.5%,"Chicken,Water Sufficient For Cooking,Green Beans,Sunflower Oil,Tapioca Starch,Natural Flavor,Tricalcium Phosphate,Guar Gum,Minerals (Zinc Oxide,Reduced Iron,Sodium Selenite,Manganese Sulfate Monohydrate,Copper Glycine Complex,Potassium Iodide),Choline Chloride,Taurine,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Folic Acid,Menadione Sodium Bisulfite Complex (Source Of Vitamin K Activity))",[2],Complete Chicken Recipe With Green Beans Grain-free,[5],,
,almo nature,,13%,64/100g,0%,8%,3%,76%,wet,,2.5%,0.0%,1.5%,0.5%,81.0%,14.5%,"Chicken,Water Sufficient For Cooking,Cheese,Tapioca Starch,Natural Flavor,Sunflower Oil,Tricalcium Phosphate,Guar Gum,Minerals (Zinc Oxide,Reduced Iron,Sodium Selenite,Manganese Sulfate Monohydrate,Copper Glycine Complex,Potassium Iodide),Choline Chloride,Taurine,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Folic Acid,Menadione Sodium Bisulfite Complex (Source Of Vitamin K Activity))",[2],Complete Chicken Recipe With Cheese Grain-free,[5],,
,almo nature,,2%,71/100g,12%,8%,3%,76%,wet,,0.3%,2.2%,1.5%,0.5%,81.0%,14.5%,"Chicken,Water Sufficient For Cooking,Carrots,Sunflower Oil,Tapioca Starch,Natural Flavor,Tricalcium Phosphate,Guar Gum,Minerals (Zinc Oxide,Reduced Iron,Sodium Selenite,Manganese Sulfate Monohydrate,Copper Glycine Complex,Potassium Iodide),Choline Chloride,Taurine,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Folic Acid,Menadione Sodium Bisulfite Complex (Source Of Vitamin K Activity)),Potassium Chloride",[2],Complete Chicken Recipe With Carrots Grain-free,[4],,
,american natural premium,,0%,369/100g,38%,17%,7%,39%,dry,,0.0%,34.0%,15.0%,6.0%,10.0%,35.0%,"chicken meal,potatoes,chick peas,lentils,duck meal,chicken fat,green peas,tomato pomace,salmon oil (preserved with mixed tocopherols),dl-methionine,salt,potassium chloride,taurine,cranberries,chicory root extract,yucca schidigera extract,sodium selenite,vitamins [vitamin A acetate,vitamin D3 supplement,vitamin E supplement,vitamin B12 supplement,choline bitartrate,niacin supplement,d-calcium pantothenate,l-ascorbyl-2-polyphosphate,riboflavin supplement,thiamine mononitrate,pyridoxine hydrochloride,folic acid,biotin],minerals [zinc sulfate,ferrous sulfate,manganese sulfate,magnesium sulfate,copper sulfate,cobalt carbonate,calcium iodate,iron proteinate,zinc proteinate,copper proteinate,manganese proteinate,magnesium proteinate,cobalt proteinate],dried lactobacillus acidophilus fermentation product,dried bifidobacterium longum fermentation product,dried lactobacillus plantarum fermentation product,dried pediococcus acidilactici fermentation product",[4],Chicken & Duck,[2],,
,american journey,,2%,368/100g,32%,17%,4%,44%,dry,,2.2%,28.8%,15.0%,4.0%,10.0%,40.0%,"Deboned Salmon,Salmon Meal,Tapioca Starch,Menhaden Fish Meal,Dried Egg Product,Pea Protein,Peas,Natural Flavor,Canola Oil (Preserved with Mixed Tocopherols),Flaxseed,Pea Fiber,Potassium Chloride,Choline Chloride,Inulin,Taurine,DL- Methionine,Salt,Spinach,Apples,Blueberries,Carrots,Cranberries,Pumpkin,Mixed Tocopherols (Preservative),Vitamin E Supplement,Ferrous Sulfate,Zinc Proteinate,Zinc Sulfate,Iron Proteinate,Niacin Supplement,Copper Sulfate,Sodium Selenite,Vitamin A Supplement,Copper Proteinate,Thiamine Mononitrate,L-Carnitine,Manganese Sulfate,D-Calcium Pantothenate,Manganese Proteinate,Pyridoxine Hydrochloride,Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Folic Acid,Calcium Iodate,Vitamin D3 Supplement,Rosemary Extract,Yeast Culture,Dried Enterococcus Faecium Fermentation Product,Dried Lactobacillus Acidophilus Fermentation Product,Dried Aspergillus Niger Fermentation Extract,Dried Trichoderma Longibrachiatum Fermentation Extract,Dried Bacillus Subtilis Fermentation Extract",[3],Grain-Free Salmon Recipe,[3],,
,american journey,,2%,368/100g,32%,17%,4%,44%,dry,,2.2%,28.8%,15.0%,4.0%,10.0%,40.0%,"Deboned Duck,Chicken Meal,Duck Meal,Tapioca Starch,Dried Egg Product,Pea Protein,Peas,Menhaden Fish Meal,Natural Flavor,Chicken Fat (Preserved with Mixed Tocopherols),Flaxseed,Pea Fiber,Potassium Chloride,Inulin,DL-Methionine,Taurine,Choline Chloride,Salt,Spinach,Apples,Blueberries,Carrots,Cranberries,Pumpkin,Mixed Tocopherols (Preservative),Vitamin E Supplement,Ferrous Sulfate,Zinc Proteinate,Zinc Sulfate,Iron Proteinate,Niacin Supplement,Copper Sulfate,Sodium Selenite,Vitamin A Supplement,Copper Proteinate,Thiamine Mononitrate,L-Carnitine,Manganese Sulfate,D-Calcium Pantothenate,Manganese Proteinate,Pyridoxine Hydrochloride,Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Folic Acid,Calcium Iodate,Vitamin D3 Supplement,Rosemary Extract,Yeast Culture,Dried Enterococcus Faecium Fermentation Product,Dried Lactobacillus Acidophilus Fermentation Product,Dried Aspergillus Niger Fermentation Extract,Dried Trichoderma Longibrachiatum Fermentation Extract,Dried Bacillus Subtilis Fermentation Extract",[3],Grain-Free Duck Recipe,[3],,
,american journey,,2%,368/100g,32%,17%,4%,44%,dry,,2.2%,28.8%,15.0%,4.0%,10.0%,40.0%,"Deboned Chicken,Chicken Meal,Tapioca Starch,Turkey Meal,Dried Egg Product,Pea Protein,Peas,Natural Flavor,Chicken Fat (Preserved with Mixed Tocopherols),Flaxseed,Menhaden Fish Meal,Pea Fiber,Potassium Chloride,Inulin,Choline Chloride,DL-Methionine,Taurine,Salt,Spinach,Apples,Blueberries,Carrots,Cranberries,Pumpkin,Mixed Tocopherols (Preservative),Vitamin E Supplement,Ferrous Sulfate,Zinc Proteinate,Zinc Sulfate,Iron Proteinate,Niacin Supplement,Copper Sulfate,Sodium Selenite,Vitamin A Supplement,Copper Proteinate,Thiamine Mononitrate,L-Carnitine,Manganese Sulfate,D-Calcium Pantothenate,Manganese Proteinate,Pyridoxine Hydrochloride,Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Folic Acid,Calcium Iodate,Vitamin D3 Supplement,Rosemary Extract,Yeast Culture,Dried Enterococcus Faecium Fermentation Product,Dried Lactobacillus acidophilus Fermentation Product,Dried Aspergillus Niger Fermentation Extract,Dried Trichoderma Longibrachiatum Fermentation Extract,Dried Bacillus Subtilis Fermentation Extract",[4],Grain-Free Chicken Recipe,[3],,
,american journey,,0%,104/100g,23%,27%,5%,45%,wet,,0.0%,5.0%,6.0%,1.0%,78.0%,10.0%,"Turkey,Turkey Broth,Turkey Liver,Natural Flavor,Flaxseed,Guar Gum,Taurine,Potassium Chloride,Salt,Cassia Gum,Xanthan Gum,Cranberries,Blueberries,Choline Chloride,Inulin,Magnesium Sulfate,Iron Proteinate,Zinc Proteinate,Fish Oil (Preserved with Mixed Tocopherols),Thiamine Mononitrate,Sunflower Oil,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Pate Turkey Recipe Grain-free,[3],,
,american journey,,0%,104/100g,23%,27%,5%,45%,wet,,0.0%,5.0%,6.0%,1.0%,78.0%,10.0%,"Turkey,Turkey Broth,Turkey Liver,Salmon,Natural Flavor,Flaxseed,Guar Gum,Taurine,Potassium Chloride,Salt,Cassia Gum,Xanthan Gum,Cranberries,Blueberries,Choline Chloride,Inulin,Magnesium Sulfate,Iron Proteinate,Zinc Proteinate,Fish Oil (Preserved with Mixed Tocopherols),Thiamine Mononitrate,Sunflower Oil,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Pate Turkey & Salmon Recipe Grain-free,[3],,
,american journey,,0%,104/100g,23%,27%,5%,45%,wet,,0.0%,5.0%,6.0%,1.0%,78.0%,10.0%,"Salmon,Chicken,Chicken Broth,Chicken Liver,Natural Flavor,Flaxseed,Guar Gum,Taurine,Potassium Chloride,Salt,Cassia Gum,Xanthan Gum,Cranberries,Blueberries,Choline Chloride,Inulin,Iron Proteinate,Zinc Proteinate,Fish Oil (Preserved with Mixed Tocopherols),Thiamine Mononitrate,Sunflower Oil,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Pate Salmon Recipe Grain-free,[3],,
,american journey,,0%,104/100g,23%,27%,5%,45%,wet,,0.0%,5.0%,6.0%,1.0%,78.0%,10.0%,"Chicken,Chicken Broth,Chicken Liver,Natural Flavor,Flaxseed,Guar Gum,Taurine,Potassium Chloride,Cassia Gum,Xanthan Gum,Cranberries,Blueberries,Salt,Choline Chloride,Fish Oil (Preserved with Mixed Tocopherols),Inulin,Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Sunflower Oil,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Pate Chicken Recipe Grain-free,[3],,
,american journey,,0%,104/100g,23%,27%,5%,45%,wet,,0.0%,5.0%,6.0%,1.0%,78.0%,10.0%,"Chicken,Chicken Broth Chicken Liver,Tuna,Natural Flavor,Flaxseed,Guar Gum,Taurine,Potassium Chloride,Cassia Gum,Xanthan Gum,Cranberries,Blueberries,Salt,Choline Chloride,Inulin,Iron Proteinate,Zinc Proteinate,Fish Oil (Preserved with Mixed Tocopherols),Thiamine Mononitrate,Sunflower Oil,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Pate Chicken & Tuna Recipe Grain-free,[3],,
,american journey,,0%,104/100g,23%,27%,5%,45%,wet,,0.0%,5.0%,6.0%,1.0%,78.0%,10.0%,"Beef,Chicken,Beef Broth,Chicken Liver,Natural Flavor,Flaxseed,Guar Gum,Tricalcium Phosphate,Taurine,Potassium Chloride,Cassia Gum,Xanthan Gum,Cranberries,Blueberries,Salt,Calcium Carbonate,Choline Chloride,Inulin,Fish Oil (Preserved with Mixed Tocopherols),Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Sunflower Oil,Magnesium Sulfate,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[4],Pate Beef & Chicken Recipe Grain-free,[3],,
,american journey,,0%,80/100g,22%,22%,6%,50%,wet,,0.0%,4.0%,4.0%,1.0%,82.0%,9.0%,"Turkey,Turkey Broth,Chicken Broth,Turkey Liver,Dried Egg White,Peas,Natural Flavor,Dried Egg Product,Guar Gum,Flaxseed,Sodium Phosphate,Salt,Sunflower Oil,Fish Oil (Preserved with Mixed Tocopherols),Taurine,Potassium Chloride,Calcium Carbonate,Cranberries,Blueberries,Choline Chloride,Inulin,DL-Methionine,Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Minced Turkey Recipe In Gravy Grain-free,[3],,
,american journey,,0%,80/100g,22%,22%,6%,50%,wet,,0.0%,4.0%,4.0%,1.0%,82.0%,9.0%,"Turkey,Turkey Broth,Fish Broth,Turkey Liver,Salmon,Dried Egg White,Peas,Natural Flavor,Dried Egg Product,Guar Gum,Flaxseed,Sodium Phosphate,Salt,Sunflower Oil,Fish Oil (Preserved with Mixed Tocopherols),Taurine,Potassium Chloride,Calcium Carbonate,Cranberries,Blueberries,Choline Chloride,Inulin,DL-Methionine,Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Minced Turkey & Salmon Recipe In Gravy Grain-free,[3],,
,american journey,,0%,77/100g,25%,19%,6%,50%,wet,,0.0%,4.5%,3.5%,1.0%,82.0%,9.0%,"Salmon,Fish Broth,Chicken Broth,Chicken Liver,Tuna,Chicken,Dried Egg White,Peas,Natural Flavor,Sunflower Oil,Dried Egg Product,Guar Gum,Flaxseed,Sodium Phosphate,Salt,Taurine,Calcium Carbonate,Potassium Chloride,Cranberries,Blueberries,Choline Chloride,Tricalcium Phosphate,Inulin,DL-Methionine,Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Fish Oil (Preserved with Mixed Tocopherols),Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Minced Salmon & Tuna Recipe In Gravy Grain-free,[3],,
,american journey,,0%,80/100g,22%,22%,6%,50%,wet,,0.0%,4.0%,4.0%,1.0%,82.0%,9.0%,"Chicken,Chicken Broth,Turkey Broth,Chicken Liver,Dried Egg White,Peas,Dried Egg Product,Natural Flavor,Guar Gum,Flaxseed,Sodium Phosphate,Salt,Sunflower Oil,Fish Oil (Preserved with Mixed Tocopherols),Taurine,Potassium Chloride,Cranberries,Blueberries,Calcium Carbonate,Choline Chloride,Inulin,DL-Methionine,Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Minced Chicken Recipe In Gravy Grain-free,[3],,
,american journey,,0%,80/100g,22%,22%,6%,50%,wet,,0.0%,4.0%,4.0%,1.0%,82.0%,9.0%,"Chicken,Chicken Broth,Turkey Broth,Chicken Liver,Turkey,Dried Egg White,Peas,Natural Flavor,Dried Egg Product,Guar Gum,Flaxseed,Sodium Phosphate,Salt,Fish Oil (Preserved with Mixed Tocopherols),Taurine,Calcium Carbonate,Potassium Chloride,Sunflower Oil,Cranberries,Blueberries,Choline Chloride,Inulin,DL-Methionine,Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[4],Minced Chicken & Turkey Recipe In Gravy Grain-free,[3],,
,american journey,,0%,77/100g,25%,19%,6%,50%,wet,,0.0%,4.5%,3.5%,1.0%,82.0%,9.0%,"Chicken,Chicken Broth,Fish Broth,Chicken Liver,Tuna,Dried Egg White,Peas,Natural Flavor,Dried Egg Product,Guar Gum,Sunflower oil,Flaxseed,Sodium Phosphate,Salt,Potassium Chloride,Taurine,Calcium Carbonate,Cranberries,Blueberries,Choline Chloride,Fish Oil (Preserved with Mixed Tocopherols),Inulin,DL-Methionine,Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Minced Chicken & Tuna Recipe In Gravy Grain-free,[3],,
,american journey,,0%,77/100g,25%,19%,6%,50%,wet,,0.0%,4.5%,3.5%,1.0%,82.0%,9.0%,"Chicken,Chicken Broth,Fish Broth,Chicken Liver,Salmon,Dried Egg White,Peas,Natural Flavor,Dried Egg Product,Guar Gum,Flaxseed,Sodium Phosphate,Salt,Sunflower Oil,Taurine,Potassium Chloride,Cranberries,Blueberries,Calcium Carbonate,Choline Chloride,Inulin,DL-Methionine,Iron Proteinate,Zinc Proteinate,Thiamine Mononitrate,Fish Oil (Preserved with Mixed Tocopherols),Vitamin E Supplement,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract.",[3],Minced Chicken & Salmon Recipe In Gravy Grain-free,[3],,
